Date,Open,High,Low,Close
2023-07-11,3661,3697,3632.45,3641.45
2023-07-10,3685,3685,3590.75,3639.95
2023-07-07,3717,3740,3661.15,3668.65
2023-07-06,3746.7,3748.2,3700,3736.85
2023-07-05,3576.4,3775,3563.15,3747.95
2023-07-04,3600,3600,3540.05,3550.1
2023-07-03,3586.8,3652,3576.25,3587.55
2023-06-30,3615,3651.9,3571,3583.6
2023-06-28,3585.05,3631.7,3585.05,3601.55
2023-06-27,3535,3594,3534.95,3583.3
2023-06-26,3468.95,3539.95,3467,3534.35
2023-06-23,3527,3537.85,3450.1,3462.95
2023-06-22,3509.55,3560,3501.1,3543.85
2023-06-21,3555.05,3565,3501.3,3509.55
2023-06-20,3585,3586.5,3533.05,3566.2
2023-06-19,3581.85,3624,3572.45,3584.75
2023-06-16,3603.05,3633.1,3570,3579.6
2023-06-15,3499.95,3591,3487.35,3581.05
2023-06-14,3495,3507.4,3462.05,3485.95
2023-06-13,3438.45,3493.95,3435,3487.7
2023-06-12,3309,3467.45,3308.95,3438.45
2023-06-09,3481.05,3498.95,3420,3428.75
2023-06-08,3549,3554.6,3489.05,3499.7
2023-06-07,3555,3570,3526,3542.1
2023-06-06,3462.95,3544,3441.15,3537.9
2023-06-05,3517.95,3524.75,3455,3462.3
2023-06-02,3525,3554.45,3495,3511.6
2023-06-01,3451.55,3562,3443.6,3525.4
2023-05-31,3428,3503.75,3420.05,3443.6
2023-05-30,3477,3477,3432,3458
2023-05-29,3525,3534.9,3466.05,3477.85
2023-05-26,3435.65,3520,3425.2,3514
2023-05-25,3371.05,3452.8,3365,3435.65
2023-05-24,3360,3407,3335.9,3383.15
2023-05-23,3241.05,3415,3221.05,3385.8
2023-05-22,3099.95,3271.15,3051,3265
2023-05-19,3144,3158.35,3085.5,3098.3
2023-05-18,3284,3284.95,3144,3153.5
2023-05-17,3284.15,3296.2,3255.2,3268
2023-05-16,3277.95,3332.6,3272.05,3279.45
2023-05-15,3306.35,3336.35,3265,3276.5
2023-05-12,3311,3354,3190,3315.05
2023-05-11,3410,3432,3222.05,3329.2
2023-05-10,3400,3436,3349,3425.25
2023-05-09,3303.9,3394.65,3273.05,3383.2
2023-05-08,3299,3311,3275,3286.3
